Usia;Jenis Kelamin;Pendidikan;1. Apakah Anda bermain game online?;2. Seberapa sering Anda bermain game online dalam sebulan terakhir?;3. Berapa lama waktu yang Anda habiskan setiap hari untuk bermain game online? ;4. Apa jenis game online yang paling sering Anda mainkan? (Contoh: MOBA, FPS, RPG, dll.);5. Apakah Anda merasa bermain game online mengganggu waktu belajar atau aktivitas Anda?;6. Bagaimana Anda menilai tingkat rasa stres Anda sebulan terakhir? ;7.  Seberapa sering Anda merasa cemas, depresi, tertekan, atau memiliki masalah kesehatan mental lainnya dalam sebulan terakhir?;8. Apa yang menjadi penyebab utama stres Anda sebulan terakhir?;9. Apakah bermain game online menjadi pilihan pertama Anda ketika Anda merasa stres? atau apakah Anda memiliki metode lain yang Anda coba terlebih dahulu?;10. Jika YA, berikan alasan mu. Jika TIDAK, aktivitas apa yang menjadi pilihan pertamamu ketika merasa stres?;11. Apakah Anda merasa bahwa bermain game online telah membantu Anda mengalihkan perhatian dari sumber stres yang sedang Anda alami?;12. Apakah Anda pernah mengalami situasi di mana bermain game untuk menghilangkan stres malah menambah stres atau masalah lain dalam hidup Anda?;13. Bagaimana pendapat Anda tentang sejauh mana bermain game sebagai cara untuk menghilangkan stres merupakan alternatif yang sehat dan efektif? 
20;Perempuan;Mahasiswa;Ya;Setiap hari;Kurang dari 30 menit;Arcade (Subway Surf, Temple Run, Pou);Netral;Tinggi;Jarang;Tugas yang banyak;Tidak;Tidur;Netral;Tidak pernah;Netral
21;Perempuan;Mahasiswa;Tidak;Beberapa kali seminggu;30 menit - 1 jam;Sport (8 Ball Pool, FIFA, eFootball);Ya;Sangat Tinggi;Sangat sering;tugasss lah, ape lagi;Tidak;nonton film sih, kalo ga gt scroll tiktok, kalo ga gitu nangis dulu biar lega;Tidak membantu;Sangat sering;Tidak Setuju
19;Perempuan;Mahasiswa;Ya;Setiap hari;Lebih dari 2 jam;RPG (Genshin Impact, Call of Duty, Toram);Ya;Sangat Tinggi;Sangat sering;Metpen;Ya;Mengejar reward time-limited events dan story in game yang mengalihkan dari real-life issues;Sangat membantu;Jarang;Sangat setuju
20;Laki-laki;Mahasiswa;Ya;Setiap hari;Lebih dari 2 jam;Arcade (Subway Surf, Temple Run, Pou);Ya;Sangat Tinggi;Sangat sering;main game Pou ngumpulin eek ga diambil ambil stress pengen ambil;Tidak;mengaji;Sangat membantu;Sangat sering;Sangat setuju
19;Laki-laki;Mahasiswa;Ya;Beberapa kali seminggu;1-2 jam;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Tinggi;Normal;kuliah;Tidak;tidur;Membantu;Jarang;Setuju
21;Laki-laki;Mahasiswa;Ya;Beberapa kali seminggu;1-2 jam;MOBA (Mobile Legends, DOTA, League of Legends);Ya;Sangat Rendah;Tidak pernah;Tidak ada;Tidak;Semakin mendekat kepada Allah;Kurang membantu;Jarang;Netral
20;Laki-laki;Mahasiswa;Ya;Sekali seminggu;1-2 jam;FPS (Valorant, CSGO, Point Blank);Tidak;Normal;Sering;Banyak;Tidak;Tidur atau menonton youtube;Membantu;Sering;Setuju
19;Perempuan;Mahasiswa;Ya;Setiap hari;30 menit - 1 jam;Arcade (Subway Surf, Temple Run, Pou);Netral;Tinggi;Normal;Tugas yang semakin menumpuk;Tidak;Tidur;Membantu;Normal;Netral
21;Laki-laki;Mahasiswa;Ya;Jarang;Kurang dari 30 menit;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Tinggi;Normal;Tugas;Tidak;Streaming;Membantu;Sering;Setuju
21;Perempuan;Mahasiswa;Ya;Jarang;30 menit - 1 jam;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Tinggi;Sangat sering;tugas yang menumpuk, kepanitiaan yang tabrakan, tidak ada me time;Tidak;tidur :);Netral;Sering;Netral
